,Applicant_ID,Gender,Age,Marital_Status,Dependents,Education,Employment_Status,Occupation_Type,Residential_Status,Annual_Income,Credit_Score,Loan_Purpose,Bank_Account_History,Transaction_Frequency,Loan_Approval_Status
0,16944,Male,26,Single,2,High School,Employed,Freelancer,Own,22529.870228399246,311,Home,2,25,1
0,16987,Female,56,Married,1,High School,Self-Employed,Salaried,Own,24176.819822925885,625,Home,0,11,0
0,17046,Male,25,Married,2,High School,Self-Employed,Freelancer,Rent,20518.282098605257,844,Vehicle,4,29,1
0,17151,Female,39,Divorced,3,Postgraduate,Unemployed,Professional,Rent,25250.916804558623,481,Home,1,18,0
0,17234,Male,48,Married,0,High School,Unemployed,Salaried,Rent,22391.25547555141,656,Home,2,24,1
0,17275,Male,34,Single,2,High School,Employed,Business,Rent,21123.86713325324,542,Personal,1,23,0
0,17289,Female,32,Married,3,Graduate,Self-Employed,Business,Own,21132.746331136997,688,Home,3,18,1
0,17359,Male,28,Single,3,High School,Self-Employed,Business,Rent,20832.931960680056,520,Education,0,17,0
0,17387,Male,28,Single,3,High School,Employed,Freelancer,Rent,21007.692553714907,628,Education,1,25,1
0,17441,Male,36,Single,0,Graduate,Employed,Professional,Rent,21040.437631695266,700,Home,1,11,0
0,17523,Male,47,Single,0,Graduate,Employed,Professional,Own,23242.99213918158,842,Home,9,17,1
0,17526,Female,36,Married,2,High School,Self-Employed,Business,Rent,23121.558726595056,718,Education,2,27,1
0,17560,Male,45,Married,1,Postgraduate,Self-Employed,Business,Rent,21040.437631695266,685,Personal,3,26,1
0,17705,Male,50,Single,0,Graduate,Employed,Freelancer,Rent,20612.457420392766,312,Personal,2,15,1
0,17706,Male,46,Married,0,Graduate,Employed,Salaried,Own,24725.87975659949,323,Personal,1,28,0
0,17742,Female,42,Married,3,High School,Employed,Business,Rent,24731.150903813785,821,Home,7,21,1
0,17815,Male,42,Single,2,High School,Self-Employed,Business,Own,25036.737881693727,442,Vehicle,4,24,1
0,17884,Male,30,Single,0,Graduate,Employed,Freelancer,Rent,23424.34320550506,523,Home,7,19,1
0,17904,Male,35,Married,0,Graduate,Employed,Salaried,Own,22066.942755744185,849,Education,2,26,1
0,17955,Female,43,Married,3,High School,Self-Employed,Freelancer,Own,24831.797661950888,665,Home,7,28,1
0,17971,Male,43,Married,1,High School,Employed,Professional,Own,21107.173228733674,849,Home,8,20,1
0,17973,Male,43,Single,3,High School,Employed,Salaried,Own,21880.949932918564,674,Vehicle,1,6,0
0,17985,Male,51,Divorced,0,Graduate,Employed,Professional,Rent,21041.042736135376,433,Education,3,26,0
0,18080,Male,23,Married,1,High School,Unemployed,Professional,Own,23149.39216259942,846,Home,2,20,1
0,18086,Male,39,Married,0,Graduate,Unemployed,Salaried,Own,21460.39311141779,820,Personal,2,22,1
0,18131,Male,41,Married,0,Graduate,Unemployed,Business,Rent,20786.072795979628,324,Education,4,27,1
0,18134,Male,30,Single,3,High School,Employed,Salaried,Own,21814.427781426013,407,Home,9,24,0
0,18147,Male,36,Single,1,High School,Employed,Salaried,Own,23873.943671890414,301,Home,3,7,0
0,18271,Female,52,Married,0,Graduate,Self-Employed,Professional,Own,21899.98181869768,780,Home,9,22,0
0,18374,Male,45,Single,2,High School,Employed,Freelancer,Rent,23530.083239568245,550,Personal,7,24,1
0,18398,Male,34,Married,2,Graduate,Employed,Business,Own,20332.968607276558,383,Home,3,26,1
0,18442,Male,30,Married,2,High School,Unemployed,Business,Other,21040.437631695266,586,Home,9,22,0
0,18444,Male,42,Single,2,High School,Self-Employed,Freelancer,Own,24706.044371481865,301,Vehicle,5,26,1
0,18469,Male,20,Married,2,Graduate,Employed,Freelancer,Own,21642.90957673927,817,Home,0,15,0
0,18492,Male,31,Married,2,Graduate,Employed,Freelancer,Own,21468.944957719195,769,Home,4,9,1
0,18507,Male,37,Married,1,Graduate,Self-Employed,Professional,Rent,21469.928038646765,821,Personal,3,15,0
0,18631,Female,44,Married,0,Postgraduate,Self-Employed,Freelancer,Rent,22350.78360039884,465,Personal,8,25,1
0,18747,Female,46,Married,1,High School,Employed,Freelancer,Own,21040.437631695266,822,Home,0,22,1
0,18798,Male,22,Married,2,High School,Unemployed,Salaried,Own,20476.40640851645,375,Education,0,24,0
0,18799,Male,37,Married,2,High School,Unemployed,Professional,Own,21878.17992966474,835,Education,2,10,1
0,18850,Male,34,Married,0,Postgraduate,Unemployed,Freelancer,Own,21040.437631695266,674,Vehicle,9,19,1
0,18940,Male,41,Married,0,Graduate,Employed,Professional,Own,21690.134061700883,848,Home,9,22,0
0,19159,Male,26,Single,0,High School,Unemployed,Business,Rent,22229.950503410055,819,Home,1,19,1
0,19253,Male,24,Married,0,Graduate,Employed,Salaried,Own,21194.586363027385,690,Home,0,27,1
0,19298,Male,30,Married,1,High School,Employed,Salaried,Own,21302.609990783145,598,Vehicle,5,25,0
0,19306,Male,33,Married,1,Postgraduate,Employed,Business,Rent,21081.932608815252,845,Home,1,6,1
0,19371,Male,27,Married,1,High School,Employed,Salaried,Rent,22103.491200750876,841,Education,8,10,1
0,19620,Male,43,Single,2,Graduate,Unemployed,Professional,Other,22409.353195007214,729,Home,9,26,1
0,19643,Male,33,Single,2,Graduate,Self-Employed,Salaried,Own,21040.437631695266,844,Vehicle,5,28,1
0,19658,Male,36,Single,0,Graduate,Employed,Salaried,Own,23163.713195722128,351,Vehicle,1,17,0
0,19686,Male,37,Married,2,Postgraduate,Self-Employed,Professional,Own,28754.59226003324,305,Vehicle,7,28,0
0,19715,Male,37,Divorced,3,High School,Self-Employed,Freelancer,Own,23184.57578752921,408,Personal,3,28,0
0,19820,Female,26,Single,1,Graduate,Employed,Business,Own,21750.332204776954,836,Home,8,14,1
0,19829,Male,52,Married,2,Graduate,Self-Employed,Professional,Own,22003.3140912267,690,Personal,4,24,1
0,19938,Male,38,Married,1,Graduate,Employed,Business,Rent,20839.295990136383,784,Personal,2,16,1
0,19952,Female,44,Single,0,High School,Self-Employed,Business,Own,22144.077324000104,624,Home,6,13,0
0,20231,Male,35,Single,1,Graduate,Unemployed,Professional,Rent,21601.55621252952,488,Vehicle,5,16,0
0,20354,Male,42,Single,3,Postgraduate,Employed,Professional,Own,21706.219783238812,743,Personal,8,6,1
0,20395,Male,49,Single,0,Postgraduate,Employed,Professional,Own,21040.437631695266,302,Personal,3,17,0
0,20412,Male,46,Married,3,High School,Employed,Salaried,Own,22553.289035854115,840,Vehicle,5,20,1
0,20442,Female,40,Married,0,Graduate,Employed,Salaried,Own,22328.568844741138,637,Home,9,12,1
0,20475,Male,38,Married,3,Graduate,Self-Employed,Business,Own,20827.427186369892,843,Home,6,15,1
0,20479,Male,49,Single,2,Graduate,Self-Employed,Business,Own,22251.43154000386,303,Home,3,24,0
0,20569,Male,52,Single,3,Postgraduate,Unemployed,Business,Own,21877.36308997962,628,Personal,6,11,1
0,20570,Male,45,Divorced,1,Graduate,Employed,Freelancer,Rent,24629.690042472917,675,Home,3,8,1
0,20599,Female,47,Married,3,Postgraduate,Self-Employed,Salaried,Own,21195.91082000427,849,Home,6,7,1
0,20656,Male,44,Married,0,High School,Employed,Business,Rent,22195.099018904995,806,Home,5,26,0
0,20670,Male,32,Married,0,Postgraduate,Employed,Business,Other,22169.944940209494,794,Education,1,18,0
0,20675,Male,41,Married,0,Postgraduate,Unemployed,Professional,Own,22531.62944385175,379,Personal,0,13,0
0,20703,Male,42,Single,3,Graduate,Unemployed,Salaried,Own,23564.11822644835,849,Personal,8,27,1
0,20715,Male,36,Divorced,1,High School,Employed,Salaried,Rent,21040.437631695266,593,Home,5,19,1
0,20734,Female,37,Single,1,High School,Unemployed,Business,Own,21811.557896602655,735,Education,9,6,1
0,20761,Female,55,Married,0,Postgraduate,Employed,Salaried,Other,21585.32374717881,398,Home,1,10,1
0,20767,Male,32,Single,3,Postgraduate,Employed,Professional,Rent,22438.29935274345,705,Vehicle,8,9,1
0,20840,Male,37,Single,0,High School,Employed,Business,Own,25537.973698928323,820,Home,9,11,1
0,20950,Male,39,Single,0,High School,Self-Employed,Salaried,Own,22108.64570544732,849,Home,9,10,1
0,20993,Male,40,Married,3,Graduate,Employed,Salaried,Own,24360.721631934444,630,Home,0,26,1
0,21217,Male,34,Single,1,High School,Employed,Professional,Own,21256.53140738986,378,Home,2,16,0
0,21251,Female,36,Married,3,Postgraduate,Self-Employed,Business,Own,21001.08634565847,840,Vehicle,0,6,1
0,21289,Male,27,Single,3,High School,Self-Employed,Salaried,Own,20679.69789824158,423,Education,1,8,0
0,21354,Female,36,Single,2,High School,Employed,Freelancer,Rent,23477.64849410253,747,Home,7,11,1
0,21370,Male,40,Married,3,High School,Unemployed,Salaried,Own,20991.51858065321,848,Home,0,17,0
0,21535,Male,54,Married,2,Postgraduate,Employed,Business,Own,21040.437631695266,785,Home,8,11,0
0,21549,Male,40,Single,0,Graduate,Employed,Professional,Own,22238.94908029302,467,Education,2,23,1
0,21568,Male,42,Married,3,High School,Unemployed,Freelancer,Own,22396.038502903615,558,Home,7,14,1
0,21580,Male,41,Married,3,Postgraduate,Unemployed,Business,Rent,21263.470439991364,821,Education,3,25,0
0,21586,Male,35,Single,0,High School,Unemployed,Salaried,Own,22830.613634276953,849,Vehicle,8,28,1
0,21597,Female,46,Divorced,0,Postgraduate,Employed,Salaried,Own,20111.208946931893,340,Home,5,6,1
0,21618,Male,35,Divorced,1,Graduate,Employed,Professional,Own,23830.137394204106,665,Vehicle,1,20,1
0,21651,Male,40,Married,3,Graduate,Self-Employed,Freelancer,Own,28604.1911399198,373,Home,5,6,1
0,21731,Female,46,Married,0,Postgraduate,Employed,Freelancer,Own,22496.055870328564,305,Home,6,26,1
0,21750,Male,29,Single,0,Graduate,Self-Employed,Professional,Own,21697.38300081609,440,Personal,4,9,0
0,21788,Male,27,Single,3,High School,Self-Employed,Freelancer,Other,24924.872576172635,846,Vehicle,2,8,1
0,21904,Male,38,Married,1,High School,Employed,Professional,Own,21040.437631695266,835,Home,2,19,1
0,21919,Male,26,Single,1,Graduate,Employed,Salaried,Own,21560.922884976873,848,Home,9,20,1
0,21991,Male,40,Married,3,High School,Employed,Freelancer,Own,21339.0472662347,799,Personal,5,17,0
0,22014,Male,26,Married,0,Graduate,Employed,Salaried,Other,21583.813209469638,810,Home,0,7,1
0,22080,Female,35,Single,2,Graduate,Self-Employed,Salaried,Rent,23565.16458850731,408,Education,2,9,0
0,22118,Female,40,Divorced,2,Graduate,Unemployed,Salaried,Rent,21498.695298914274,698,Personal,4,22,1
0,22135,Male,62,Single,0,Postgraduate,Employed,Business,Rent,24053.080924795926,680,Home,8,14,1
0,22225,Male,38,Single,2,Postgraduate,Unemployed,Business,Other,24948.43402271825,635,Vehicle,9,28,0
0,22293,Female,40,Married,0,Graduate,Employed,Professional,Own,24922.526385469013,849,Education,8,7,0
0,22380,Male,55,Married,3,Postgraduate,Unemployed,Freelancer,Rent,21488.102379580574,473,Home,2,10,1
0,22471,Female,28,Single,3,Graduate,Employed,Salaried,Own,21040.437631695266,647,Education,0,19,1
0,22589,Female,69,Single,1,High School,Self-Employed,Salaried,Own,22278.69818230712,629,Vehicle,7,23,1
0,22595,Female,40,Married,1,Graduate,Self-Employed,Professional,Rent,21026.3888784676,818,Home,3,11,1
0,22628,Male,35,Single,2,High School,Employed,Freelancer,Own,21321.45990055201,803,Home,7,20,1
0,22667,Female,41,Married,1,Postgraduate,Unemployed,Freelancer,Rent,22584.43840314306,843,Home,3,18,1
0,22701,Male,32,Divorced,1,High School,Self-Employed,Business,Own,20639.687120197697,828,Personal,3,16,1
0,22829,Male,44,Single,2,Graduate,Employed,Freelancer,Rent,21201.352313183048,843,Home,4,18,1
0,22855,Male,57,Single,3,Graduate,Self-Employed,Salaried,Own,29376.99981382458,591,Education,2,7,0
0,22942,Male,25,Single,3,High School,Employed,Salaried,Rent,21143.720989620026,849,Education,8,7,1
0,22952,Male,53,Married,2,Postgraduate,Employed,Professional,Rent,26626.83776014499,759,Education,8,29,1
0,23017,Male,41,Single,1,High School,Employed,Business,Own,23720.194808896613,413,Home,1,17,1
0,23145,Male,49,Married,2,Graduate,Self-Employed,Business,Own,24654.965894588815,485,Vehicle,7,21,1
0,23384,Male,39,Single,3,Graduate,Employed,Business,Own,20755.036308546667,848,Home,7,17,1
0,23484,Male,45,Single,3,Postgraduate,Self-Employed,Professional,Other,22179.991247392096,789,Home,8,22,1
0,23608,Female,37,Single,3,Postgraduate,Employed,Business,Own,20706.542780355656,638,Education,9,12,1
0,23691,Male,46,Single,1,High School,Self-Employed,Salaried,Rent,26212.53174618439,568,Personal,1,10,1
0,23710,Female,36,Single,3,Graduate,Self-Employed,Professional,Own,22541.23996637822,510,Home,4,9,0
0,23724,Female,32,Married,1,High School,Employed,Professional,Own,20652.449727187482,582,Personal,6,7,1
0,23767,Male,43,Single,2,High School,Employed,Business,Rent,20965.185420552927,303,Home,8,23,0
0,23866,Male,50,Single,0,Graduate,Employed,Salaried,Own,23499.038884751382,330,Home,7,6,0
0,23890,Male,42,Married,2,High School,Self-Employed,Business,Rent,21213.488950062376,522,Personal,0,20,1
0,23920,Male,62,Married,0,High School,Self-Employed,Freelancer,Own,23707.688404973895,372,Home,3,6,1
0,23923,Male,24,Single,1,Graduate,Self-Employed,Business,Own,21040.437631695266,803,Home,2,15,0
0,24065,Female,46,Married,2,High School,Employed,Freelancer,Own,22337.73503110723,621,Home,9,24,0
0,24253,Male,33,Single,0,Graduate,Employed,Freelancer,Own,26220.84722890857,846,Personal,1,9,1
0,24304,Female,44,Divorced,1,Graduate,Unemployed,Freelancer,Own,21793.69448836306,849,Home,9,12,1
0,24319,Male,31,Married,1,Graduate,Self-Employed,Business,Own,22881.820041673454,849,Personal,2,24,1
0,24395,Male,28,Single,2,High School,Self-Employed,Salaried,Other,21040.437631695266,824,Home,9,18,0
0,24669,Male,40,Married,0,High School,Unemployed,Salaried,Rent,24521.648627588336,788,Personal,8,16,1
0,24764,Male,26,Single,0,Graduate,Self-Employed,Business,Rent,20687.834141436855,349,Personal,6,22,1
0,24810,Male,28,Divorced,1,Postgraduate,Unemployed,Freelancer,Own,21040.437631695266,769,Education,3,7,1
0,24933,Male,36,Single,2,Graduate,Employed,Salaried,Own,21892.71646069433,384,Home,3,17,0
0,24995,Male,31,Married,3,Graduate,Self-Employed,Freelancer,Own,21040.437631695266,527,Home,8,27,1
0,25143,Male,27,Divorced,1,High School,Unemployed,Salaried,Rent,20530.498093443945,563,Vehicle,8,17,0
0,25379,Male,42,Single,0,Graduate,Employed,Business,Own,21027.893601153886,849,Vehicle,7,27,1
0,25454,Male,55,Single,3,High School,Employed,Professional,Rent,20932.63463274893,799,Home,7,24,1
0,25630,Male,40,Married,1,High School,Self-Employed,Freelancer,Own,20703.59353757294,843,Vehicle,0,23,1
0,25660,Male,39,Married,0,High School,Employed,Professional,Other,21120.682895133974,333,Home,8,14,1
0,25885,Male,38,Married,2,Graduate,Employed,Professional,Own,22534.66556991756,842,Vehicle,4,10,1
0,26025,Male,30,Divorced,0,Graduate,Employed,Business,Own,21357.58932185088,772,Home,6,26,0
0,26164,Male,57,Married,3,Postgraduate,Employed,Salaried,Own,21366.72164426018,671,Vehicle,6,28,0
0,26237,Female,29,Married,1,Graduate,Unemployed,Professional,Rent,24410.4397355328,587,Education,3,13,1
0,26282,Female,41,Married,2,Graduate,Employed,Business,Rent,22201.31972515024,840,Education,0,22,1
0,26416,Female,28,Married,1,High School,Self-Employed,Salaried,Rent,22475.44229832499,810,Home,0,13,0
0,26489,Male,29,Single,1,Graduate,Unemployed,Professional,Own,20374.421853055846,847,Home,3,19,1
0,26587,Male,29,Married,2,High School,Employed,Freelancer,Rent,21040.437631695266,322,Education,8,18,0
0,26637,Male,53,Married,3,High School,Employed,Freelancer,Own,22065.078185759427,301,Vehicle,4,20,0
0,26645,Male,42,Single,2,High School,Self-Employed,Business,Own,20862.58207824543,336,Home,7,17,1
0,26656,Female,31,Single,0,Graduate,Employed,Freelancer,Rent,22735.86844024681,553,Home,1,16,1
0,26663,Female,46,Married,1,Graduate,Self-Employed,Freelancer,Own,21117.16788483066,652,Vehicle,8,23,0
0,26677,Female,35,Single,2,High School,Self-Employed,Freelancer,Own,23133.19424532585,414,Education,7,6,1
0,26691,Female,38,Married,2,Postgraduate,Employed,Professional,Own,21537.993223564605,662,Personal,6,23,0
0,26779,Female,27,Married,2,High School,Employed,Salaried,Rent,21736.660401856243,300,Personal,1,16,0
0,26886,Male,45,Married,3,Postgraduate,Employed,Salaried,Own,21082.1597367679,844,Personal,5,28,1
0,27030,Male,50,Single,1,Graduate,Self-Employed,Professional,Own,20866.31634911749,844,Home,7,26,1
0,27036,Male,59,Single,0,Postgraduate,Employed,Salaried,Own,22150.76152177522,471,Education,6,6,1
0,27102,Male,46,Married,2,Postgraduate,Self-Employed,Salaried,Own,21040.437631695266,608,Personal,7,25,1
0,27217,Male,31,Single,0,High School,Unemployed,Freelancer,Own,91281.15088301476,849,Vehicle,5,17,1
0,27306,Male,33,Divorced,0,Graduate,Employed,Freelancer,Own,21267.28851560499,541,Home,9,16,1
0,27367,Male,30,Divorced,1,High School,Self-Employed,Salaried,Own,20622.974060308632,381,Personal,1,6,0
0,27397,Female,44,Single,3,High School,Employed,Freelancer,Rent,21736.240351967914,461,Home,3,14,0
0,27427,Female,31,Single,2,Postgraduate,Employed,Salaried,Own,21819.949658744663,840,Home,2,16,1
0,27554,Male,47,Married,3,Postgraduate,Unemployed,Freelancer,Own,21123.56612030395,507,Home,0,13,0
0,27566,Male,24,Single,3,High School,Self-Employed,Salaried,Rent,22906.63958552304,780,Home,4,9,0
0,27634,Male,59,Single,3,Postgraduate,Self-Employed,Professional,Rent,21040.437631695266,848,Education,5,28,1
0,27695,Female,33,Married,1,High School,Employed,Professional,Other,20805.545255257253,846,Home,0,17,1
0,27755,Male,31,Married,0,High School,Unemployed,Professional,Rent,20867.530320659574,836,Personal,4,8,1
0,27859,Female,43,Single,3,Postgraduate,Employed,Salaried,Own,21040.437631695266,754,Education,7,14,1
0,28012,Female,38,Married,3,Postgraduate,Employed,Freelancer,Rent,22151.869454664717,316,Personal,1,12,1
0,28067,Male,43,Married,2,Graduate,Employed,Business,Own,20462.17499515819,849,Personal,5,27,1
0,28156,Female,39,Married,1,Postgraduate,Self-Employed,Salaried,Own,21040.437631695266,639,Personal,9,27,0
0,28329,Male,49,Married,2,High School,Employed,Professional,Own,20719.09433622077,531,Home,3,13,1
0,28332,Male,26,Married,3,Graduate,Unemployed,Professional,Own,20830.027869839734,849,Home,2,21,1
0,28398,Male,35,Single,0,Graduate,Self-Employed,Freelancer,Own,21040.437631695266,848,Home,8,7,1
0,28480,Male,41,Divorced,2,Graduate,Employed,Professional,Own,20805.545255257253,772,Vehicle,8,18,1
0,28537,Male,51,Single,2,High School,Unemployed,Salaried,Own,20511.612267357264,422,Education,9,11,1
0,28574,Male,44,Single,3,Graduate,Employed,Freelancer,Own,21953.878871388642,612,Home,5,17,0
0,28575,Female,47,Married,2,Postgraduate,Employed,Professional,Rent,21953.878871388642,849,Education,3,11,1
0,28614,Male,48,Married,0,High School,Employed,Freelancer,Own,20769.152789687927,778,Personal,5,26,1
0,28640,Male,31,Single,2,Graduate,Unemployed,Freelancer,Rent,21359.61944895775,656,Vehicle,5,13,0
0,28841,Male,56,Single,2,Graduate,Employed,Freelancer,Other,21979.829950279425,848,Vehicle,4,18,0
0,28874,Male,49,Single,2,High School,Employed,Freelancer,Own,20306.372402905814,773,Home,3,15,0
0,28987,Male,64,Married,2,High School,Self-Employed,Freelancer,Other,20362.31668571213,658,Home,2,27,0
0,29120,Male,38,Married,0,Graduate,Unemployed,Freelancer,Own,22109.033259619533,712,Personal,9,8,0
0,29131,Male,23,Married,0,Graduate,Unemployed,Business,Own,22628.19542416494,839,Education,9,23,0
0,29158,Male,32,Married,0,Graduate,Employed,Business,Own,21592.66538459999,848,Education,9,25,1
0,29207,Male,41,Single,3,Postgraduate,Self-Employed,Salaried,Rent,21688.631733435785,848,Education,2,8,1
0,29447,Male,40,Single,1,High School,Self-Employed,Salaried,Own,20582.709815679045,301,Personal,9,26,0
0,29524,Male,36,Single,1,Postgraduate,Employed,Salaried,Own,21294.51855747009,842,Home,8,28,1
0,29528,Male,19,Married,1,Graduate,Unemployed,Professional,Own,22213.21897227183,849,Personal,6,23,1
0,29530,Female,43,Single,1,Graduate,Employed,Business,Other,21392.120638037148,779,Home,1,14,1
0,29560,Female,49,Divorced,2,Graduate,Unemployed,Salaried,Rent,23852.218746395647,510,Home,5,20,1
0,29572,Female,23,Married,0,High School,Employed,Professional,Own,23817.682641367006,833,Home,4,26,1
0,29627,Male,49,Single,1,Postgraduate,Employed,Professional,Other,20904.855242251368,837,Education,0,9,1
0,29661,Male,47,Married,1,Graduate,Employed,Professional,Rent,22366.00083116603,844,Education,2,10,1
0,29754,Male,37,Married,3,Postgraduate,Employed,Freelancer,Own,21210.812329234872,849,Personal,5,9,1
0,29787,Male,43,Single,1,Graduate,Employed,Freelancer,Own,21040.437631695266,322,Vehicle,9,9,1
0,29801,Female,39,Married,2,Postgraduate,Self-Employed,Business,Own,25439.290708225177,328,Home,4,29,1
0,29820,Male,33,Married,1,Graduate,Employed,Salaried,Own,21172.329191908644,823,Home,6,22,1
0,29835,Male,57,Married,2,Postgraduate,Self-Employed,Business,Own,21193.594730595574,337,Personal,2,10,0
0,29867,Male,53,Married,0,Graduate,Self-Employed,Freelancer,Own,22612.52291131195,619,Home,8,17,1
0,29879,Male,26,Single,0,High School,Employed,Business,Other,21714.909821848752,309,Home,2,24,0
0,29927,Male,40,Single,3,High School,Employed,Salaried,Rent,22530.984318371793,647,Home,4,13,0
0,29953,Male,27,Married,3,Postgraduate,Self-Employed,Salaried,Own,22374.075503530774,825,Vehicle,3,17,1
0,29982,Male,39,Single,1,Postgraduate,Self-Employed,Freelancer,Own,21040.437631695266,740,Personal,0,27,0
0,30019,Male,53,Single,0,High School,Employed,Business,Own,23012.376198984522,318,Vehicle,6,24,0
0,30037,Male,50,Married,1,Postgraduate,Self-Employed,Professional,Own,21918.353870409544,518,Home,6,24,0
0,30114,Male,51,Married,0,Graduate,Self-Employed,Professional,Own,20455.14258013037,849,Home,8,27,1
0,30117,Male,50,Divorced,3,Graduate,Self-Employed,Freelancer,Own,21383.00986541854,692,Vehicle,0,28,1
0,30189,Female,60,Married,1,Graduate,Employed,Business,Own,21362.218764186913,818,Personal,3,19,0
0,30210,Male,43,Single,2,Postgraduate,Unemployed,Professional,Other,20899.8283259982,787,Education,8,6,1
0,30212,Male,47,Single,2,Graduate,Self-Employed,Salaried,Rent,23916.35058142269,473,Home,2,29,1
0,30253,Female,22,Single,2,Graduate,Employed,Professional,Own,21013.252399712386,847,Education,2,16,1
0,30286,Male,35,Single,0,Postgraduate,Unemployed,Business,Own,21684.68367495769,718,Home,2,20,0
